round,local_updates,examples_processed,train_loss,train_accuracy,drift,grad_norm,selected_clients,aggregation_weights,client_losses,client_accuracies,seed,hard_k
0,0,0,2.306821085611979,0.10706666666666667,0.07011768966913223,0.6291294097900391,[],[],"[2.3074941243489584, 2.306148046875]","[0.1054, 0.10873333333333333]",0,1
1,6,384,2.2548000874837237,0.1064,,,"[0, 1]","[0.5, 0.5]","[2.2550656209309894, 2.2545345540364585]","[0.10446666666666667, 0.10833333333333334]",0,1
2,12,768,2.1895278035481773,0.3379,,,"[0, 1]","[0.5, 0.5]","[2.1883985392252603, 2.190657067871094]","[0.34973333333333334, 0.32606666666666667]",0,1
3,18,1152,2.1040954366048177,0.5229,,,"[0, 1]","[0.5, 0.5]","[2.1013319458007813, 2.106858927408854]","[0.5348666666666667, 0.5109333333333334]",0,1
4,24,1536,1.9880231231689454,0.483,,,"[0, 1]","[0.5, 0.5]","[1.9825510782877604, 1.9934951680501303]","[0.494, 0.472]",0,1
5,30,1920,1.8209660135904948,0.5493666666666667,,,"[0, 1]","[0.5, 0.5]","[1.8133371663411457, 1.8285948608398437]","[0.5578666666666666, 0.5408666666666667]",0,1
6,36,2304,1.56598581644694,0.6838333333333333,,,"[0, 1]","[0.5, 0.5]","[1.560455733235677, 1.571515899658203]","[0.6883333333333334, 0.6793333333333333]",0,1
7,42,2688,1.378626806640625,0.6945666666666667,,,"[0, 1]","[0.5, 0.5]","[1.3697998575846355, 1.3874537556966147]","[0.7028666666666666, 0.6862666666666667]",0,1
8,48,3072,1.3433106353759765,0.5747,,,"[0, 1]","[0.5, 0.5]","[1.3356934672037761, 1.350927803548177]","[0.5804666666666667, 0.5689333333333333]",0,1
9,54,3456,1.1776234313964844,0.6190666666666667,,,"[0, 1]","[0.5, 0.5]","[1.169919921875, 1.1853269409179688]","[0.6224666666666666, 0.6156666666666667]",0,1
10,60,3840,0.993838557434082,0.7244333333333333,,,"[0, 1]","[0.5, 0.5]","[0.9852158335367839, 1.0024612813313802]","[0.7269333333333333, 0.7219333333333333]",0,1
11,66,4224,1.2359539276123046,0.6981666666666667,,,"[0, 1]","[0.5, 0.5]","[1.2338113830566406, 1.2380964721679688]","[0.6971333333333334, 0.6992]",0,1
12,72,4608,0.8890076250712077,0.7205666666666666,,,"[0, 1]","[0.5, 0.5]","[0.8852111282348633, 0.8928041219075521]","[0.7252666666666666, 0.7158666666666667]",0,1
13,78,4992,0.8313195597330729,0.7887333333333333,,,"[0, 1]","[0.5, 0.5]","[0.825614658610026, 0.8370244608561198]","[0.7904, 0.7870666666666667]",0,1
14,84,5376,0.734398361714681,0.7929666666666666,,,"[0, 1]","[0.5, 0.5]","[0.730521602376302, 0.7382751210530599]","[0.7944, 0.7915333333333333]",0,1
15,90,5760,0.6823952835083008,0.8057333333333334,,,"[0, 1]","[0.5, 0.5]","[0.6793306009928386, 0.685459966023763]","[0.808, 0.8034666666666667]",0,1
16,96,6144,0.6015111022949219,0.8408333333333333,,,"[0, 1]","[0.5, 0.5]","[0.5986029184977214, 0.6044192860921224]","[0.8434666666666667, 0.8382]",0,1
17,102,6528,0.7745235816955567,0.7405999999999999,,,"[0, 1]","[0.5, 0.5]","[0.7679223866780599, 0.7811247767130534]","[0.7428666666666667, 0.7383333333333333]",0,1
18,108,6912,0.5644498240152995,0.8264333333333334,,,"[0, 1]","[0.5, 0.5]","[0.5599594299316406, 0.5689402180989583]","[0.8296, 0.8232666666666667]",0,1
19,114,7296,0.5045143852233887,0.8409,,,"[0, 1]","[0.5, 0.5]","[0.49698990376790364, 0.5120388666788737]","[0.8443333333333334, 0.8374666666666667]",0,1
20,120,7680,1.0842184626261393,0.6476999999999999,,,"[0, 1]","[0.5, 0.5]","[1.0740579620361328, 1.0943789632161458]","[0.6498, 0.6456]",0,1
21,126,8064,0.575290380859375,0.8186333333333333,,,"[0, 1]","[0.5, 0.5]","[0.572412543741862, 0.578168217976888]","[0.8203333333333334, 0.8169333333333333]",0,1
22,132,8448,0.49227036844889327,0.8337333333333333,,,"[0, 1]","[0.5, 0.5]","[0.48784593251546227, 0.4966948043823242]","[0.8370666666666666, 0.8304]",0,1
23,138,8832,0.42163363545735677,0.8872666666666666,,,"[0, 1]","[0.5, 0.5]","[0.4180644302368164, 0.42520284067789715]","[0.8902, 0.8843333333333333]",0,1
24,144,9216,0.44231328239440915,0.8738333333333334,,,"[0, 1]","[0.5, 0.5]","[0.4396825284322103, 0.44494403635660806]","[0.8748666666666667, 0.8728]",0,1
25,150,9600,0.40219676895141604,0.8869333333333334,,,"[0, 1]","[0.5, 0.5]","[0.39662136637369794, 0.40777217152913414]","[0.8892, 0.8846666666666667]",0,1
