round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.309732,5.091781e+00,8.913017e-01,0.450044,,,,,,
10,32000,0.935797,6.924983e+00,1.504655e+00,0.450044,,,,,,
20,63681,0.436622,4.169220e+00,7.171702e-01,0.450044,,,,,,
30,95648,0.303051,3.133463e+00,4.229430e-01,0.450044,,,,,,
40,127329,0.234634,2.600673e+00,5.478219e-01,0.450044,,,,,,
50,159296,0.194238,2.259875e+00,4.132481e-01,0.450044,,,,,,
60,190977,0.170460,2.016128e+00,2.221349e-01,0.450044,,,,,,
70,222944,0.149732,1.819480e+00,1.811557e-01,0.450044,,,,,,
80,254625,0.136178,1.676359e+00,1.513388e-01,0.450044,,,,,,
90,286573,0.122753,1.592899e+00,1.963422e-01,0.450044,,,,,,
100,318273,0.113983,1.486634e+00,1.651196e-01,0.450044,,,,,,
110,350221,0.106481,1.437895e+00,2.147419e-01,0.450044,,,,,,
120,381921,0.099239,1.354833e+00,1.406069e-01,0.450044,,,,,,
130,413869,0.094647,1.290244e+00,1.544538e-01,0.450044,,,,,,
140,445569,0.088790,1.250914e+00,1.731960e-01,0.450044,,,,,,
150,477398,0.083347,1.214316e+00,1.609737e-01,0.450044,,,,,,
160,509198,0.080287,1.184416e+00,2.007965e-01,0.450044,,,,,,
170,540952,0.075980,1.122401e+00,1.112793e-01,0.450044,,,,,,
180,572846,0.073382,1.086003e+00,1.486694e-01,0.450044,,,,,,
190,604600,0.070437,1.078248e+00,1.824802e-01,0.450044,,,,,,
200,636494,0.067390,1.061789e+00,1.541423e-01,0.450044,,,,,,
210,668248,0.065560,1.008607e+00,7.559129e-02,0.450044,,,,,,
220,700142,0.062120,9.972137e-01,9.271156e-02,0.450044,,,,,,
230,731877,0.060293,9.761530e-01,1.294669e-01,0.450044,,,,,,
240,763790,0.059210,9.873048e-01,2.207879e-01,0.450044,,,,,,
