round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.303516,6.130459e+00,6.629946e-01,0.950248,,,,,,
10,32000,1.776290,1.169112e+01,1.311227e+00,0.950248,,,,,,
20,63767,1.212714,1.163543e+01,1.687394e+00,0.950248,,,,,,
30,95712,0.845323,1.011376e+01,1.386132e+00,0.950248,,,,,,
40,127479,0.637134,8.579299e+00,1.099422e+00,0.950248,,,,,,
50,159424,0.506204,7.580710e+00,8.789316e-01,0.950248,,,,,,
60,191191,0.426536,6.803159e+00,7.055644e-01,0.950248,,,,,,
70,223129,0.371881,6.041325e+00,6.217162e-01,0.950248,,,,,,
80,254903,0.333683,5.436035e+00,5.005333e-01,0.950248,,,,,,
90,286841,0.295281,5.013679e+00,4.597388e-01,0.950248,,,,,,
100,318615,0.271370,4.675186e+00,4.386942e-01,0.950248,,,,,,
110,350553,0.244959,4.355577e+00,3.025461e-01,0.950248,,,,,,
120,382320,0.229496,4.085496e+00,2.907866e-01,0.950248,,,,,,
130,414188,0.211797,3.956204e+00,3.870439e-01,0.950248,,,,,,
140,446032,0.198155,3.796013e+00,4.331604e-01,0.950248,,,,,,
150,477835,0.187490,3.659254e+00,3.706923e-01,0.950248,,,,,,
160,509744,0.176260,3.504774e+00,2.915176e-01,0.950248,,,,,,
170,541483,0.172758,3.403369e+00,3.425468e-01,0.950248,,,,,,
180,573456,0.159297,3.204192e+00,1.991302e-01,0.950248,,,,,,
190,605250,0.153907,3.156508e+00,2.564527e-01,0.950248,,,,,,
200,637168,0.146187,3.094965e+00,2.509903e-01,0.950248,,,,,,
210,668962,0.138707,3.014475e+00,2.018124e-01,0.950248,,,,,,
220,700880,0.133484,2.978801e+00,3.742635e-01,0.950248,,,,,,
230,732674,0.127870,2.848319e+00,1.939401e-01,0.950248,,,,,,
240,764508,0.124726,2.774489e+00,1.354473e-01,0.950248,,,,,,
