round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.303516,,,0.900220,,,,,,
1,6400,2.249100,,,0.900220,,,,,,
2,12800,2.189270,,,0.900220,,,,,,
3,19200,2.129513,,,0.900220,,,,,,
4,25600,2.064785,,,0.900220,,,,,,
5,32000,2.004215,,,0.900220,,,,,,
6,38400,1.938462,,,0.900220,,,,,,
7,44800,1.864258,,,0.900220,,,,,,
8,51200,1.804368,,,0.900220,,,,,,
9,57539,1.716420,,,0.900220,,,,,,
10,63717,1.641460,,,0.900220,,,,,,
11,70112,1.563868,,,0.900220,,,,,,
12,76512,1.496963,,,0.900220,,,,,,
13,82912,1.440321,,,0.900220,,,,,,
14,89312,1.366041,,,0.900220,,,,,,
15,95712,1.313666,,,0.900220,,,,,,
16,102112,1.251896,,,0.900220,,,,,,
17,108512,1.179360,,,0.900220,,,,,,
18,114851,1.110525,,,0.900220,,,,,,
19,121066,1.057054,,,0.900220,,,,,,
20,127429,1.008617,,,0.900220,,,,,,
21,133824,0.959707,,,0.900220,,,,,,
22,140224,0.915780,,,0.900220,,,,,,
23,146624,0.870837,,,0.900220,,,,,,
24,153024,0.833717,,,0.900220,,,,,,
25,159424,0.788830,,,0.900220,,,,,,
26,165763,0.743803,,,0.900220,,,,,,
27,172163,0.707572,,,0.900220,,,,,,
28,178434,0.677947,,,0.900220,,,,,,
29,184759,0.664270,,,0.900220,,,,,,
30,191141,0.633996,,,0.900220,,,,,,
31,197541,0.614327,,,0.900220,,,,,,
32,203936,0.588387,,,0.900220,,,,,,
33,210336,0.565862,,,0.900220,,,,,,
34,216736,0.544610,,,0.900220,,,,,,
35,223075,0.530699,,,0.900220,,,,,,
36,229475,0.513121,,,0.900220,,,,,,
37,235803,0.501605,,,0.900220,,,,,,
38,242090,0.482193,,,0.900220,,,,,,
39,248471,0.469668,,,0.900220,,,,,,
40,254853,0.453736,,,0.900220,,,,,,
41,261253,0.441597,,,0.900220,,,,,,
42,267648,0.433872,,,0.900220,,,,,,
43,273987,0.422202,,,0.900220,,,,,,
44,280387,0.409370,,,0.900220,,,,,,
45,286787,0.400273,,,0.900220,,,,,,
46,293115,0.387091,,,0.900220,,,,,,
47,299402,0.378973,,,0.900220,,,,,,
48,305783,0.373081,,,0.900220,,,,,,
49,312165,0.367589,,,0.900220,,,,,,
50,318565,0.356908,,,0.900220,,,,,,
51,324965,0.346662,,,0.900220,,,,,,
52,331304,0.340676,,,0.900220,,,,,,
53,337699,0.331752,,,0.900220,,,,,,
54,344099,0.328618,,,0.900220,,,,,,
55,350499,0.318862,,,0.900220,,,,,,
56,356770,0.317866,,,0.900220,,,,,,
57,363114,0.361400,,,0.900220,,,,,,
58,369495,0.316817,,,0.900220,,,,,,
59,375877,0.305504,,,0.900220,,,,,,
60,382277,0.297861,,,0.900220,,,,,,
61,388616,0.287873,,,0.900220,,,,,,
62,395016,0.282004,,,0.900220,,,,,,
63,401411,0.275264,,,0.900220,,,,,,
64,407811,0.271004,,,0.900220,,,,,,
65,414139,0.264494,,,0.900220,,,,,,
66,420426,0.261216,,,0.900220,,,,,,
67,426826,0.260110,,,0.900220,,,,,,
68,433207,0.255751,,,0.900220,,,,,,
69,439528,0.253231,,,0.900220,,,,,,
70,445928,0.248086,,,0.900220,,,,,,
71,452328,0.245025,,,0.900220,,,,,,
72,458728,0.242797,,,0.900220,,,,,,
73,465128,0.240906,,,0.900220,,,,,,
74,471451,0.236567,,,0.900220,,,,,,
75,477794,0.232046,,,0.900220,,,,,,
76,484138,0.229861,,,0.900220,,,,,,
77,490519,0.226097,,,0.900220,,,,,,
78,496858,0.224650,,,0.900220,,,,,,
79,503240,0.221352,,,0.900220,,,,,,
80,509640,0.219638,,,0.900220,,,,,,
81,516040,0.217006,,,0.900220,,,,,,
82,522440,0.216403,,,0.900220,,,,,,
83,528768,0.215322,,,0.900220,,,,,,
84,535106,0.209916,,,0.900220,,,,,,
85,541450,0.206061,,,0.900220,,,,,,
86,547789,0.204002,,,0.900220,,,,,,
87,554170,0.202003,,,0.900220,,,,,,
88,560570,0.198710,,,0.900220,,,,,,
89,566952,0.197021,,,0.900220,,,,,,
90,573352,0.194051,,,0.900220,,,,,,
91,579752,0.192944,,,0.900220,,,,,,
92,586080,0.190502,,,0.900220,,,,,,
93,592423,0.189183,,,0.900220,,,,,,
94,598767,0.186618,,,0.900220,,,,,,
