round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.308971,,,0.000000,,,,,,
9,5760,2.181143,,,0.000000,,,,,,
18,11520,1.886926,,,0.000000,,,,,,
27,17280,1.245459,,,0.000000,,,,,,
36,23040,1.346412,,,0.000000,,,,,,
45,28800,1.097425,,,0.000000,,,,,,
54,34560,0.665030,,,0.000000,,,,,,
63,40320,0.491216,,,0.000000,,,,,,
72,46080,0.598146,,,0.000000,,,,,,
81,51840,0.473858,,,0.000000,,,,,,
90,57600,0.480361,,,0.000000,,,,,,
99,63200,0.342595,,,0.000000,,,,,,
108,68960,0.288897,,,0.000000,,,,,,
117,74720,0.393764,,,0.000000,,,,,,
126,80480,0.266522,,,0.000000,,,,,,
135,86240,0.335051,,,0.000000,,,,,,
144,92000,0.242918,,,0.000000,,,,,,
153,97760,0.224935,,,0.000000,,,,,,
162,103520,0.234403,,,0.000000,,,,,,
171,109280,0.210885,,,0.000000,,,,,,
180,115040,0.211082,,,0.000000,,,,,,
189,120640,0.191352,,,0.000000,,,,,,
198,126400,0.184574,,,0.000000,,,,,,
207,132160,0.182016,,,0.000000,,,,,,
216,137920,0.177130,,,0.000000,,,,,,
225,143680,0.166214,,,0.000000,,,,,,
234,149440,0.162517,,,0.000000,,,,,,
243,155200,0.160046,,,0.000000,,,,,,
252,160960,0.151156,,,0.000000,,,,,,
261,166720,0.148080,,,0.000000,,,,,,
270,172480,0.148835,,,0.000000,,,,,,
279,178240,0.139125,,,0.000000,,,,,,
288,183840,0.139616,,,0.000000,,,,,,
297,189600,0.137251,,,0.000000,,,,,,
306,195360,0.131669,,,0.000000,,,,,,
315,201120,0.126385,,,0.000000,,,,,,
324,206880,0.129604,,,0.000000,,,,,,
333,212640,0.119307,,,0.000000,,,,,,
342,218400,0.119367,,,0.000000,,,,,,
351,224160,0.120940,,,0.000000,,,,,,
360,229920,0.111553,,,0.000000,,,,,,
369,235680,0.109655,,,0.000000,,,,,,
378,241280,0.111256,,,0.000000,,,,,,
387,247040,0.111608,,,0.000000,,,,,,
396,252800,0.107412,,,0.000000,,,,,,
405,258560,0.105014,,,0.000000,,,,,,
414,264320,0.102235,,,0.000000,,,,,,
423,270080,0.098008,,,0.000000,,,,,,
432,275840,0.099129,,,0.000000,,,,,,
441,281600,0.093626,,,0.000000,,,,,,
450,287360,0.096234,,,0.000000,,,,,,
459,293120,0.097781,,,0.000000,,,,,,
468,298880,0.095551,,,0.000000,,,,,,
477,304480,0.087688,,,0.000000,,,,,,
486,310240,0.086019,,,0.000000,,,,,,
495,316000,0.086982,,,0.000000,,,,,,
504,321760,0.086769,,,0.000000,,,,,,
513,327520,0.087593,,,0.000000,,,,,,
522,333280,0.083679,,,0.000000,,,,,,
531,339040,0.081869,,,0.000000,,,,,,
540,344800,0.082748,,,0.000000,,,,,,
549,350560,0.080650,,,0.000000,,,,,,
558,356320,0.079923,,,0.000000,,,,,,
567,361920,0.079998,,,0.000000,,,,,,
576,367680,0.086233,,,0.000000,,,,,,
585,373440,0.073758,,,0.000000,,,,,,
594,379200,0.078345,,,0.000000,,,,,,
603,384960,0.074135,,,0.000000,,,,,,
612,390720,0.072776,,,0.000000,,,,,,
621,396480,0.076367,,,0.000000,,,,,,
630,402240,0.077420,,,0.000000,,,,,,
639,408000,0.077083,,,0.000000,,,,,,
648,413760,0.070131,,,0.000000,,,,,,
657,419520,0.072175,,,0.000000,,,,,,
666,425120,0.067259,,,0.000000,,,,,,
675,430880,0.065993,,,0.000000,,,,,,
684,436640,0.072805,,,0.000000,,,,,,
693,442400,0.066097,,,0.000000,,,,,,
702,448160,0.066850,,,0.000000,,,,,,
711,453920,0.065801,,,0.000000,,,,,,
720,459680,0.065711,,,0.000000,,,,,,
729,465440,0.061641,,,0.000000,,,,,,
738,471200,0.062405,,,0.000000,,,,,,
747,476960,0.060357,,,0.000000,,,,,,
756,482560,0.062619,,,0.000000,,,,,,
765,488320,0.060591,,,0.000000,,,,,,
774,494080,0.063516,,,0.000000,,,,,,
783,499840,0.058239,,,0.000000,,,,,,
792,505600,0.059176,,,0.000000,,,,,,
801,511360,0.061505,,,0.000000,,,,,,
810,517120,0.058440,,,0.000000,,,,,,
819,522880,0.057868,,,0.000000,,,,,,
828,528640,0.064598,,,0.000000,,,,,,
837,534400,0.058236,,,0.000000,,,,,,
846,540000,0.061048,,,0.000000,,,,,,
855,545760,0.054451,,,0.000000,,,,,,
864,551520,0.055070,,,0.000000,,,,,,
873,557280,0.054905,,,0.000000,,,,,,
882,563040,0.054052,,,0.000000,,,,,,
891,568800,0.058131,,,0.000000,,,,,,
900,574560,0.053142,,,0.000000,,,,,,
909,580320,0.051670,,,0.000000,,,,,,
918,586080,0.054423,,,0.000000,,,,,,
927,591840,0.058415,,,0.000000,,,,,,
936,597600,0.051458,,,0.000000,,,,,,
938,598880,0.050257,,,0.000000,,,,,,
