round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606946,8.089016e-01,1.181110e-01,0.250191
5,32000,4.577562,2.860794e+00,3.571144e-01,0.250191
10,62800,4.507366,3.020756e+00,3.358437e-01,0.250191
15,94800,4.418133,3.286967e+00,3.932292e-01,0.250191
20,125600,4.314691,3.319597e+00,4.457021e-01,0.250191
25,156400,4.229670,3.769668e+00,7.250655e-01,0.250191
30,188400,4.109732,3.538132e+00,5.680283e-01,0.250191
35,219200,4.034788,3.699961e+00,5.665716e-01,0.250191
40,250000,3.992604,3.721793e+00,5.509846e-01,0.250191
45,282000,3.915263,3.625581e+00,6.329479e-01,0.250191
50,312800,3.856297,3.683508e+00,5.889341e-01,0.250191
55,344800,3.816952,3.759559e+00,6.056193e-01,0.250191
60,375600,3.764467,3.784177e+00,6.212568e-01,0.250191
65,406400,3.724203,3.931126e+00,7.195351e-01,0.250191
70,438400,3.684964,3.809897e+00,5.826327e-01,0.250191
75,469200,3.652398,3.858345e+00,5.881869e-01,0.250191
80,500000,3.632622,3.831817e+00,5.719406e-01,0.250191
85,532000,3.587948,3.931592e+00,5.670686e-01,0.250191
90,562800,3.564210,3.886857e+00,6.060252e-01,0.250191
95,594800,3.535887,3.982877e+00,5.699195e-01,0.250191
100,625600,3.512161,3.964433e+00,5.739466e-01,0.250191
