round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.610989,8.679525e-01,1.765997e-01,0.368875
10,12561,4.502272,,,0.368875
20,25056,4.235138,,,0.368875
25,31271,4.113430,5.479777e+00,9.398953e-01,0.368875
30,37516,4.007612,,,0.368875
40,49992,3.818753,,,0.368875
50,62487,3.705198,6.305827e+00,9.671913e-01,0.368875
60,74947,3.605927,,,0.368875
70,87442,3.511210,,,0.368875
75,93638,3.446400,6.721455e+00,1.063148e+00,0.368875
80,99918,3.401896,,,0.368875
90,112378,3.297829,,,0.368875
100,124873,3.193224,6.681602e+00,1.320495e+00,0.368875
