round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.610989,1.863328e-01,1.765997e-01,0.001449
10,12560,4.545456,,,0.001449
20,25000,4.357126,,,0.001449
25,31280,4.194476,5.785048e-01,6.786039e-01,0.001449
30,37560,4.025690,,,0.001449
40,50000,3.828328,,,0.001449
50,62560,3.651689,8.389199e-01,9.639865e-01,0.001449
60,75000,3.538091,,,0.001449
70,87560,3.370573,,,0.001449
75,93840,3.289613,9.830176e-01,1.040963e+00,0.001449
80,100000,3.243888,,,0.001449
90,112560,3.059604,,,0.001449
100,125000,2.957083,1.071818e+00,1.455027e+00,0.001449
