round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.608579,,,0.500221
39,49920,4.564906,,,0.500221
78,98640,4.429187,,,0.500221
117,147360,4.127125,,,0.500221
156,196080,3.911099,,,0.500221
195,244800,3.821229,,,0.500221
234,293520,3.738420,,,0.500221
273,342240,3.641028,,,0.500221
312,390960,3.586339,,,0.500221
351,439680,3.519610,,,0.500221
390,488400,3.472655,,,0.500221
429,537120,3.428483,,,0.500221
468,585840,3.420904,,,0.500221
507,634560,3.375084,,,0.500221
546,683280,3.263573,,,0.500221
585,732000,3.250968,,,0.500221
624,780720,3.177178,,,0.500221
663,829440,3.136530,,,0.500221
702,878160,3.117363,,,0.500221
741,926880,3.032172,,,0.500221
780,975600,2.979948,,,0.500221
819,1024320,2.990303,,,0.500221
858,1073040,2.897733,,,0.500221
897,1121760,2.886456,,,0.500221
936,1170480,2.892156,,,0.500221
975,1219200,2.794188,,,0.500221
1014,1267920,2.737064,,,0.500221
1053,1316640,2.697807,,,0.500221
1092,1365360,2.709884,,,0.500221
1131,1414080,2.646573,,,0.500221
1170,1462800,2.669152,,,0.500221
1209,1511520,2.612102,,,0.500221
1248,1560240,2.602273,,,0.500221
1287,1608960,2.490957,,,0.500221
1326,1657680,2.532019,,,0.500221
1365,1706400,2.448940,,,0.500221
1404,1755120,2.444444,,,0.500221
1443,1803840,2.515141,,,0.500221
1482,1852560,2.459259,,,0.500221
1521,1901280,2.586309,,,0.500221
1560,1950000,3.514074,,,0.500221
1599,1999920,2.323109,,,0.500221
1638,2048640,2.289208,,,0.500221
1677,2097360,2.251751,,,0.500221
1716,2146080,2.151635,,,0.500221
1755,2194800,2.144174,,,0.500221
1794,2243520,2.108585,,,0.500221
1833,2292240,2.178585,,,0.500221
1872,2340960,2.115376,,,0.500221
1911,2389680,2.109288,,,0.500221
1950,2438400,2.072542,,,0.500221
1989,2487120,2.082785,,,0.500221
2028,2535840,1.980302,,,0.500221
2067,2584560,1.935452,,,0.500221
2106,2633280,1.952745,,,0.500221
2145,2682000,2.002485,,,0.500221
2184,2730720,1.884379,,,0.500221
2223,2779440,1.837390,,,0.500221
2262,2828160,1.874660,,,0.500221
2301,2876880,1.868392,,,0.500221
2340,2925600,1.802176,,,0.500221
2379,2974320,1.794243,,,0.500221
2418,3023040,1.776494,,,0.500221
2457,3071760,1.740508,,,0.500221
2496,3120480,1.770564,,,0.500221
2535,3169200,1.773188,,,0.500221
2574,3217920,1.714641,,,0.500221
2613,3266640,1.632082,,,0.500221
2652,3315360,1.634993,,,0.500221
2691,3364080,1.526901,,,0.500221
2730,3412800,1.492090,,,0.500221
2769,3461520,1.607321,,,0.500221
2808,3510240,1.472992,,,0.500221
2847,3558960,1.429372,,,0.500221
2886,3607680,1.389377,,,0.500221
2925,3656400,1.401185,,,0.500221
2964,3705120,1.403443,,,0.500221
3003,3753840,1.502313,,,0.500221
3042,3802560,1.645983,,,0.500221
3081,3851280,2.681700,,,0.500221
3120,3900000,1.910051,,,0.500221
3159,3949920,1.216887,,,0.500221
3198,3998640,1.192410,,,0.500221
3237,4047360,1.168499,,,0.500221
3276,4096080,1.153514,,,0.500221
3315,4144800,1.117234,,,0.500221
3354,4193520,1.082782,,,0.500221
3393,4242240,1.089547,,,0.500221
3432,4290960,1.174114,,,0.500221
3471,4339680,1.078815,,,0.500221
3510,4388400,1.123550,,,0.500221
3549,4437120,0.989685,,,0.500221
3588,4485840,0.978218,,,0.500221
3627,4534560,0.923239,,,0.500221
3666,4583280,0.936960,,,0.500221
3705,4632000,0.875834,,,0.500221
3744,4680720,0.775606,,,0.500221
3783,4729440,0.768361,,,0.500221
3822,4778160,0.834641,,,0.500221
3861,4826880,0.722639,,,0.500221
3900,4875600,0.770341,,,0.500221
3906,4883280,0.711499,,,0.500221
