round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606323,,,0.000000
1,63952,3.299437,,,0.000000
2,127904,2.726985,,,0.000000
3,191856,2.284371,,,0.000000
4,255760,1.902122,,,0.000000
5,319712,1.630506,,,0.000000
6,383664,1.291301,,,0.000000
7,447616,0.978401,,,0.000000
8,511520,0.689052,,,0.000000
9,575472,0.435995,,,0.000000
10,639424,0.359907,,,0.000000
11,703328,0.186417,,,0.000000
12,767280,0.144028,,,0.000000
13,831232,0.099365,,,0.000000
14,895184,0.115497,,,0.000000
15,959088,0.040262,,,0.000000
16,1023040,0.025790,,,0.000000
17,1086992,0.014619,,,0.000000
18,1150896,0.006819,,,0.000000
19,1214848,0.006061,,,0.000000
20,1278800,0.005195,,,0.000000
21,1342752,0.006575,,,0.000000
22,1406656,0.004532,,,0.000000
23,1470608,0.004361,,,0.000000
24,1534560,0.004159,,,0.000000
25,1598512,0.002940,,,0.000000
26,1662416,0.003275,,,0.000000
27,1726368,0.003074,,,0.000000
28,1790320,0.007861,,,0.000000
29,1854224,0.003337,,,0.000000
30,1918176,0.002480,,,0.000000
31,1982128,0.002726,,,0.000000
32,2046080,0.002411,,,0.000000
33,2109984,0.002153,,,0.000000
34,2173936,0.001973,,,0.000000
35,2237888,0.002164,,,0.000000
36,2301792,0.002274,,,0.000000
37,2365744,0.002076,,,0.000000
38,2429696,0.002110,,,0.000000
39,2493648,0.001791,,,0.000000
40,2557552,0.001677,,,0.000000
41,2621504,0.001602,,,0.000000
42,2685456,0.001819,,,0.000000
43,2749408,0.001409,,,0.000000
44,2813312,0.001373,,,0.000000
45,2877264,0.001276,,,0.000000
46,2941216,0.001173,,,0.000000
47,3005120,0.001390,,,0.000000
48,3069072,0.001121,,,0.000000
49,3133024,0.001173,,,0.000000
50,3196976,0.001001,,,0.000000
51,3260880,0.000989,,,0.000000
52,3324832,0.001059,,,0.000000
53,3388784,0.000918,,,0.000000
54,3452688,0.000983,,,0.000000
55,3516640,0.000905,,,0.000000
56,3580592,0.000960,,,0.000000
57,3644544,0.000817,,,0.000000
58,3708448,0.000777,,,0.000000
59,3772400,0.000845,,,0.000000
60,3836352,0.000760,,,0.000000
61,3900256,0.000755,,,0.000000
62,3964208,0.000734,,,0.000000
63,4028160,0.000696,,,0.000000
64,4092112,0.000665,,,0.000000
65,4156016,0.000656,,,0.000000
66,4219968,0.000799,,,0.000000
67,4283920,0.000691,,,0.000000
68,4347872,0.000704,,,0.000000
69,4411776,0.000684,,,0.000000
70,4475728,0.000625,,,0.000000
71,4539680,0.000623,,,0.000000
72,4603584,0.000599,,,0.000000
73,4667536,0.000582,,,0.000000
74,4731488,0.000537,,,0.000000
75,4795440,0.000533,,,0.000000
76,4859344,0.000563,,,0.000000
77,4923296,0.000545,,,0.000000
78,4987248,0.000527,,,0.000000
