round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,4.606323,,,0.000000,,,,,,
1,49920,4.552679,,,0.000000,,,,,,
2,98640,4.399897,,,0.000000,,,,,,
3,147360,4.147529,,,0.000000,,,,,,
4,196080,3.932132,,,0.000000,,,,,,
5,244800,3.801721,,,0.000000,,,,,,
6,293520,3.738126,,,0.000000,,,,,,
7,342240,3.642749,,,0.000000,,,,,,
8,390960,3.588787,,,0.000000,,,,,,
9,439680,3.529408,,,0.000000,,,,,,
10,488400,3.450284,,,0.000000,,,,,,
11,537120,3.459056,,,0.000000,,,,,,
12,585840,3.375555,,,0.000000,,,,,,
13,634560,3.290374,,,0.000000,,,,,,
14,683280,3.288939,,,0.000000,,,,,,
15,732000,3.252866,,,0.000000,,,,,,
16,780720,3.195265,,,0.000000,,,,,,
17,829440,3.096883,,,0.000000,,,,,,
18,878160,3.140535,,,0.000000,,,,,,
19,926880,3.029567,,,0.000000,,,,,,
20,975600,3.010829,,,0.000000,,,,,,
21,1024320,3.000039,,,0.000000,,,,,,
22,1073040,2.973270,,,0.000000,,,,,,
23,1121760,2.898523,,,0.000000,,,,,,
24,1170480,2.810839,,,0.000000,,,,,,
25,1219200,2.826693,,,0.000000,,,,,,
26,1267920,2.752074,,,0.000000,,,,,,
27,1316640,2.734980,,,0.000000,,,,,,
28,1365360,2.688193,,,0.000000,,,,,,
29,1414080,2.624374,,,0.000000,,,,,,
30,1462800,2.590311,,,0.000000,,,,,,
31,1511520,2.586172,,,0.000000,,,,,,
32,1560240,2.556372,,,0.000000,,,,,,
33,1608960,2.515009,,,0.000000,,,,,,
34,1657680,2.526048,,,0.000000,,,,,,
35,1706400,2.461392,,,0.000000,,,,,,
36,1755120,2.443320,,,0.000000,,,,,,
37,1803840,2.437466,,,0.000000,,,,,,
38,1852560,2.634083,,,0.000000,,,,,,
39,1901280,2.573920,,,0.000000,,,,,,
40,1950000,3.062171,,,0.000000,,,,,,
41,1999920,2.390618,,,0.000000,,,,,,
42,2048640,2.254971,,,0.000000,,,,,,
43,2097360,2.215360,,,0.000000,,,,,,
44,2146080,2.315014,,,0.000000,,,,,,
45,2194800,2.262334,,,0.000000,,,,,,
46,2243520,2.178909,,,0.000000,,,,,,
47,2292240,2.132768,,,0.000000,,,,,,
48,2340960,2.201214,,,0.000000,,,,,,
49,2389680,2.072208,,,0.000000,,,,,,
50,2438400,2.031384,,,0.000000,,,,,,
51,2487120,2.019085,,,0.000000,,,,,,
52,2535840,1.975609,,,0.000000,,,,,,
53,2584560,2.029175,,,0.000000,,,,,,
54,2633280,1.956267,,,0.000000,,,,,,
55,2682000,1.953646,,,0.000000,,,,,,
56,2730720,1.903485,,,0.000000,,,,,,
57,2779440,1.843441,,,0.000000,,,,,,
58,2828160,1.841874,,,0.000000,,,,,,
59,2876880,1.823948,,,0.000000,,,,,,
60,2925600,1.720743,,,0.000000,,,,,,
61,2974320,1.747789,,,0.000000,,,,,,
62,3023040,1.669439,,,0.000000,,,,,,
63,3071760,1.692672,,,0.000000,,,,,,
64,3120480,1.739300,,,0.000000,,,,,,
65,3169200,1.640155,,,0.000000,,,,,,
66,3217920,1.599171,,,0.000000,,,,,,
67,3266640,1.572797,,,0.000000,,,,,,
68,3315360,1.586137,,,0.000000,,,,,,
69,3364080,1.485518,,,0.000000,,,,,,
70,3412800,1.514454,,,0.000000,,,,,,
71,3461520,1.451155,,,0.000000,,,,,,
72,3510240,1.433658,,,0.000000,,,,,,
73,3558960,1.601847,,,0.000000,,,,,,
74,3607680,1.428422,,,0.000000,,,,,,
75,3656400,1.472293,,,0.000000,,,,,,
76,3705120,1.477003,,,0.000000,,,,,,
77,3753840,1.489081,,,0.000000,,,,,,
78,3802560,1.474349,,,0.000000,,,,,,
79,3851280,2.630122,,,0.000000,,,,,,
80,3900000,2.450894,,,0.000000,,,,,,
81,3949920,1.338276,,,0.000000,,,,,,
82,3998640,1.197328,,,0.000000,,,,,,
83,4047360,1.178879,,,0.000000,,,,,,
84,4096080,1.133351,,,0.000000,,,,,,
85,4144800,1.111835,,,0.000000,,,,,,
86,4193520,1.143728,,,0.000000,,,,,,
87,4242240,1.069766,,,0.000000,,,,,,
88,4290960,0.987646,,,0.000000,,,,,,
89,4339680,0.951658,,,0.000000,,,,,,
90,4388400,1.078996,,,0.000000,,,,,,
91,4437120,0.966749,,,0.000000,,,,,,
92,4485840,0.882809,,,0.000000,,,,,,
93,4534560,0.904900,,,0.000000,,,,,,
94,4583280,0.919563,,,0.000000,,,,,,
95,4632000,0.846568,,,0.000000,,,,,,
96,4680720,0.823638,,,0.000000,,,,,,
97,4729440,0.759648,,,0.000000,,,,,,
98,4778160,0.820285,,,0.000000,,,,,,
99,4826880,0.769625,,,0.000000,,,,,,
100,4875600,0.827631,,,0.000000,,,,,,
