seed,n_clients,rounds,client_fraction_requested,clients_per_round,client_fraction_actual,partition,target_h,h_label,quantity_cv,aggregation,local_steps,mean_local_steps,final_train_loss,final_train_accuracy,final_drift,final_grad_norm,local_updates,examples_processed,participation_coverage,participation_cv,final_client_losses,final_client_accuracies,easy_k,hard_k,noise_std,hard_loss_gap,loss_increase_fraction,mean_positive_loss_jump,max_positive_loss_jump,loss_excess_path_variation
0,2,30,1.0,2,1.0,iid,,5.555694463610372e-05,0.0,data,"[5, 1]",3.0,0.41531049804687503,0.8648666666666667,0.09784240275621414,1.9004391431808472,180,11520,1.0,0.0,"[0.4106502850850423, 0.4199707110087077]","[0.8664, 0.8633333333333333]",5,1,0.2,0.009320425923665387,0.2,0.18554701985253227,0.5797040774027507,2.2265642382303885
0,2,30,1.0,2,1.0,iid,,5.555694463610372e-05,0.0,data,"[5, 5]",5.0,0.24933773682912191,0.9248666666666667,0.09460771083831787,1.2377334833145142,300,19200,1.0,0.0,"[0.2475869328816732, 0.2510885407765706]","[0.9252, 0.9245333333333333]",5,5,0.2,0.003501607894897424,0.26666666666666666,0.02597145341237387,0.061261786651611305,0.4155432545979818
0,2,30,1.0,2,1.0,iid,,5.555694463610372e-05,0.0,data,"[5, 10]",7.5,0.1632778367360433,0.9517333333333333,0.08906321972608566,0.5823182463645935,450,28760,1.0,0.0,"[0.16217139956156412, 0.16438427391052246]","[0.9514666666666667, 0.952]",5,10,0.2,0.002212874348958338,0.23333333333333334,0.016885575812203568,0.038775337600708004,0.23639806137085007
0,2,30,1.0,2,1.0,iid,,5.555694463610372e-05,0.0,data,"[5, 20]",12.5,0.11388040771484376,0.9656,0.07929521054029465,0.5638138055801392,750,47920,1.0,0.0,"[0.11522883669535319, 0.1125319787343343]","[0.9650666666666666, 0.9661333333333333]",5,20,0.2,-0.0026968579610188864,0.2,0.008509810776180687,0.01633253142038979,0.10211772931416752
1,2,30,1.0,2,1.0,iid,,3.262870751652436e-05,0.0,data,"[5, 1]",3.0,0.3873683073679606,0.8827666666666667,0.099175825715065,1.974163293838501,180,11520,1.0,0.0,"[0.38841006088256835, 0.38632655385335285]","[0.8836666666666667, 0.8818666666666667]",5,1,0.2,-0.0020835070292155033,0.26666666666666666,0.06465062416394549,0.1918581080118813,1.0344099866231284
1,2,30,1.0,2,1.0,iid,,3.262870751652436e-05,0.0,data,"[5, 5]",5.0,0.2688322377522786,0.9178666666666666,0.10061414539813995,1.5168431997299194,300,19200,1.0,0.0,"[0.27370498428344725, 0.26395949122111]","[0.9166666666666666, 0.9190666666666667]",5,5,0.2,-0.00974549306233724,0.23333333333333334,0.07767778216770717,0.3554618245442709,1.0874889503479
1,2,30,1.0,2,1.0,iid,,3.262870751652436e-05,0.0,data,"[5, 10]",7.5,0.18927594814300536,0.9429000000000001,0.09599218517541885,1.0104166269302368,450,28760,1.0,0.0,"[0.19446860211690267, 0.18408329416910807]","[0.9415333333333333, 0.9442666666666667]",5,10,0.2,-0.010385307947794603,0.23333333333333334,0.02734343597775415,0.08544410502115896,0.38280810368855755
1,2,30,1.0,2,1.0,iid,,3.262870751652436e-05,0.0,data,"[5, 20]",12.5,0.13034044539133707,0.9603333333333333,0.0877424031496048,0.8108964562416077,750,47920,1.0,0.0,"[0.1358580165863037, 0.12482287419637045]","[0.9586666666666667, 0.962]",5,20,0.2,-0.01103514238993325,0.2,0.007960322009192574,0.011494355519612615,0.09552386411031044
2,2,30,1.0,2,1.0,iid,,3.9505650603066655e-05,0.0,data,"[5, 1]",3.0,0.3713027072906494,0.8933,0.08479481935501099,0.8373051285743713,180,11520,1.0,0.0,"[0.36881834411621095, 0.3737870704650879]","[0.893, 0.8936]",5,1,0.2,0.004968726348876962,0.13333333333333333,0.17721713345845538,0.41643872629801426,1.4177370676676426
2,2,30,1.0,2,1.0,iid,,3.9505650603066655e-05,0.0,data,"[5, 5]",5.0,0.28669467760721845,0.9132,0.07121406495571136,1.4853404760360718,300,19200,1.0,0.0,"[0.2829229944864909, 0.29046636072794596]","[0.9141333333333334, 0.9122666666666667]",5,5,0.2,0.007543366241455074,0.3,0.10135056498492205,0.2646998102823892,1.8243101697285966
2,2,30,1.0,2,1.0,iid,,3.9505650603066655e-05,0.0,data,"[5, 10]",7.5,0.18040398947397868,0.9460333333333333,0.06738205999135971,0.6764923334121704,450,28760,1.0,0.0,"[0.17764910329182942, 0.18315887565612793]","[0.9469333333333333, 0.9451333333333334]",5,10,0.2,0.005509772364298504,0.23333333333333334,0.007770283562796493,0.022881722005208327,0.10878396987915107
2,2,30,1.0,2,1.0,iid,,3.9505650603066655e-05,0.0,data,"[5, 20]",12.5,0.10863112551371257,0.9684333333333334,0.05506276339292526,0.18984386324882507,750,47920,1.0,0.0,"[0.10916265551249187, 0.10809959551493327]","[0.9674, 0.9694666666666667]",5,20,0.2,-0.0010630599975585964,0.1,0.008658607270982535,0.012998911285400372,0.051951643625895105
